1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
YAL025C,3,5,5,5,5,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3
YAL036C,3,5,5,5,5,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3
YAL040C,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3
YDL037c,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YDR184C,3,5,5,5,5,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3
YDR299W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YDR380W,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,3,3,3,4
YDR398W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YER006w,3,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YER064c,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3
YER126c,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YGL171W,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
YIL122W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YIL133C,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3
YKL009W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YKL143W,3,5,4,4,5,4,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3
YLR175W,3,5,5,5,5,5,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3
YLR196W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YLR222C,3,5,5,5,5,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3
YLR062C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
YLR129w,3,5,5,5,5,5,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3
YLL011w,3,5,5,5,5,5,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3
YMR093W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YMR131C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YMR217W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YNL060C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YNL061W,3,5,5,5,5,5,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3
YNL062C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YNL174W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YNL175C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YNR038W,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YNR053C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YOR051C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YOL077C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YOR206W,3,5,5,5,5,5,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3
YOR306C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YOR309C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YOR310C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YOR312C,3,5,5,5,5,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3
YPL012W,3,5,5,5,5,5,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3
YBR072W,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5
YBR196C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
YCR012w,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2
YCR013C,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2
YDL234C,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YDR050C,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2
YDR258C,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YER049w,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2
YER067w,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2
YER130c,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5
YER150w,5,2,2,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5
YFR053C,3,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3
YFR055W,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YFR056C,2,5,5,5,5,5,5,5,5,5,5,5,2,5,2,2,2,2,2,2,2
YGL055W,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2
YGL253W,2,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,2,2
YGR142W,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YGR146C,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YGR192C,2,5,5,5,5,5,5,5,5,5,2,2,2,5,2,2,2,2,2,2,2
YGR211W,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
YHR030C,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2
YHR064C,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2
YHR174W,2,5,5,5,5,5,5,5,5,5,2,5,5,5,2,2,2,2,2,2,2
YJL052W,2,5,5,5,5,5,5,5,5,5,2,2,2,5,2,2,2,2,2,2,2
YJL107C,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5
YJL108C,2,5,5,5,5,5,5,5,5,5,5,5,2,5,2,2,2,2,2,2,2
YJL165C,2,5,5,5,5,5,5,5,5,5,2,2,5,5,2,2,2,2,2,2,2
YJR009C,2,5,5,5,5,5,5,5,5,5,2,2,2,5,2,2,2,2,2,2,2
YJR045C,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YJR078W,5,2,2,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5
YKL060C,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2
YKL152C,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2
